OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU45,0,0,1,2,293,236,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Pachyphloeus,s__unidentified
OTU64,0,0,3,213,102,232,k__Fungi,p__Ascomycota,,,,,
OTU94,0,0,0,56,3,211,k__Fungi,p__Ascomycota,,,,,
OTU149,0,0,0,172,0,171,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Boletaceae,g__Tylopilus,s__Tylopilus_atronicotianus
OTU128,0,0,0,1,0,169,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Amanitaceae,g__Amanita,s__Amanita_alboflavescens
OTU60,0,0,124,106,44,154,k__Fungi,p__Basidiomycota,c__Pucciniomycotina_cls_Incertae_sedis,o__GS25,f__unidentified,g__unidentified,s__unidentified
OTU97,0,0,0,1,0,148,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gliocladiopsis,s__Gliocladiopsis_curvata
OTU20,0,0,4,1097,346,130,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Astraeaceae,g__Astraeus,s__Astraeus_hygrometricus
OTU106,0,0,34,2,117,115,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,g__Chaetosphaeria,s__unidentified
OTU40,0,0,1,76,654,112,k__Fungi,p__Ascomycota,,,,,
OTU206,0,0,0,0,0,105,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__Rhizophagus_irregularis
OTU152,0,0,0,1,1,101,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Lactifluus,
OTU269,0,0,1,0,2,97,k__Fungi,,,,,,
OTU204,0,0,0,0,0,96,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,
OTU112,0,0,0,25,1,93,k__Fungi,,,,,,
OTU203,0,0,0,6,1,83,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,
OTU177,0,0,8,26,0,75,k__Fungi,p__Ascomycota,,,,,
OTU43,0,0,0,261,72,73,k__Fungi,p__Ascomycota,,,,,
OTU191,0,0,0,39,0,68,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__unidentified
OTU719,0,0,0,0,0,62,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__Russula_crustosa
OTU267,0,0,0,0,0,61,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
OTU197,0,0,0,14,1,54,k__Fungi,p__Ascomycota,,,,,
OTU70,0,0,11,94,246,51,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
OTU272,0,0,0,0,1,51,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,g__Chaetosphaeria,
OTU271,0,0,0,0,0,47,k__Fungi,p__Ascomycota,,,,,
OTU121,0,0,11,3,74,46,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__unidentified
OTU262,0,0,0,0,1,43,k__Fungi,p__Ascomycota,,,,,
OTU199,0,0,0,30,0,39,k__Fungi,p__Ascomycota,,,,,
OTU79,0,0,157,3,17,35,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,
OTU263,0,0,0,0,0,35,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,
OTU432,0,0,0,0,0,35,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,s__unidentified
OTU143,0,0,16,0,2,32,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
OTU104,0,0,76,45,7,27,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
OTU186,0,0,9,38,40,25,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,
OTU205,0,0,0,1,0,25,k__Fungi,p__Ascomycota,,,,,
OTU377,0,0,0,2,0,24,k__Fungi,,,,,,
OTU413,0,0,0,1,11,23,k__Fungi,p__Ascomycota,,,,,
OTU127,0,0,0,18,1,21,k__Fungi,,,,,,
OTU400,0,0,0,0,6,19,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Cephalothecaceae,g__unidentified,s__unidentified
OTU685,0,0,0,0,1,19,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leptodontidium,s__Leptodontidium_trabinellum
OTU274,0,0,0,1,2,18,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__unidentified
OTU437,0,0,0,0,0,18,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__Umbelopsidales,f__Umbelopsidaceae,g__Umbelopsis,
OTU270,0,0,0,0,0,18,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellaceae,g__Tremella,s__unidentified
OTU224,0,0,35,0,17,17,k__Fungi,,,,,,
OTU430,0,0,0,0,0,17,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,
OTU405,0,0,0,0,1,15,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
OTU435,0,0,0,0,0,15,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,,,
OTU731,0,0,0,0,0,15,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Phaffomycetaceae,g__Cyberlindnera,s__Cyberlindnera_maclurae
OTU431,0,0,0,0,0,14,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,,
OTU436,0,0,0,0,5,13,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__unidentified
OTU429,0,0,0,0,3,13,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__unidentified
OTU200,0,0,0,27,12,12,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,s__Chaetomium_homopilatum
OTU650,0,0,0,1,4,12,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
OTU424,0,0,0,0,3,12,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__unidentified,g__unidentified,s__unidentified
