OTU_ID,C1,C2-2,C3,P1,P2,P3
OTU177,0,0,8,26,0,75
OTU186,0,0,9,38,40,25
OTU95,0,0,0,113,0,0
OTU173,9,9,19,38,3,39
OTU269,0,0,1,0,2,97
OTU204,0,0,0,0,0,96
OTU124,7,0,100,0,2,5
OTU114,365,1,10,0,0,0
OTU152,0,0,0,1,1,101
OTU164,0,0,68,6,7,7
OTU101,0,0,99,0,1,0
OTU206,0,0,0,0,0,105
OTU181,1,10,86,0,1,0
OTU250,2,5,32,12,4,23
OTU135,0,1,53,2,34,14
OTU132,1,94,0,0,0,0
OTU167,0,0,68,0,0,0
OTU193,0,0,0,93,0,1
OTU197,0,0,0,14,1,54
OTU111,0,0,0,84,4,0
OTU163,3,4,80,2,2,1
OTU148,0,0,0,40,53,5
OTU153,1,0,13,0,0,69
OTU171,2,0,66,3,4,5
OTU189,2,14,15,18,23,10
OTU211,108,51,4,0,0,0
OTU354,0,0,78,0,1,0
OTU203,0,0,0,6,1,83
OTU139,0,0,78,1,1,0
OTU199,0,0,0,30,0,39
OTU146,19,0,36,3,1,34
OTU221,0,3,31,28,12,1
OTU119,0,25,48,0,2,0
OTU151,0,4,0,15,40,14
OTU118,0,35,33,1,1,0
OTU196,9,2,0,14,13,40
OTU591,1,0,65,0,2,0
OTU108,0,0,79,0,0,1
OTU233,12,3,68,0,2,0
OTU180,0,9,47,0,3,6
OTU155,5,9,12,14,14,10
OTU224,0,0,35,0,17,17
OTU234,0,0,61,0,0,1
OTU442,160,4,0,11,7,8
OTU166,2,0,16,1,0,39
OTU140,0,0,31,9,16,0
OTU273,0,32,3,0,0,31
OTU198,0,0,0,64,1,0
OTU201,0,0,0,33,41,0
OTU230,0,0,69,1,0,0
OTU222,0,0,54,0,2,1
OTU207,0,9,10,0,0,36
OTU267,0,0,0,0,0,61
OTU144,0,0,59,0,1,0
OTU229,24,0,51,0,0,0
OTU719,0,0,0,0,0,62
OTU175,0,0,51,0,2,0
OTU141,0,0,51,1,0,1
OTU634,0,0,1,49,2,5
OTU266,8,0,2,0,18,29
OTU143,0,0,16,0,2,32
OTU131,213,0,0,0,0,0
OTU223,0,0,56,0,0,0
OTU237,0,0,45,0,0,0
OTU174,0,0,56,1,1,2
OTU183,0,0,45,0,3,0
OTU227,0,0,64,0,2,0
OTU216,1,14,30,0,1,0
OTU162,12,2,14,6,1,11
OTU136,0,2,37,0,0,0
OTU185,0,1,48,7,1,0
OTU161,0,26,13,0,0,0
OTU225,0,0,48,0,0,0
OTU318,0,0,42,6,0,1
OTU246,0,0,37,1,0,0
OTU412,1,0,0,0,41,6
OTU305,0,7,40,1,0,0
OTU361,4,3,14,30,0,2
OTU158,0,31,12,0,0,1
OTU314,6,0,41,0,1,0
OTU178,0,0,46,0,0,0
OTU253,0,5,0,28,11,11
OTU200,0,0,0,27,12,12
OTU192,0,0,0,29,2,9
OTU271,0,0,0,0,0,47
OTU248,0,0,54,0,0,1
OTU385,1,0,0,12,1,20
OTU380,0,0,5,13,12,8
OTU241,1,0,42,0,0,0
OTU170,0,0,38,1,1,0
OTU251,0,0,0,42,0,0
OTU623,0,0,13,32,2,3
OTU272,0,0,0,0,1,51
OTU194,0,0,0,44,0,0
OTU262,0,0,0,0,1,43
OTU315,4,0,39,0,0,0
OTU137,0,0,41,0,1,0
OTU127,0,0,0,18,1,21
OTU238,0,0,40,0,3,0
OTU182,0,0,39,0,1,0
OTU168,0,0,39,0,0,0
OTU464,50,8,1,8,2,3
OTU306,0,0,25,0,0,0
OTU393,0,0,0,0,48,0
OTU263,0,0,0,0,0,35
OTU188,0,0,2,22,4,6
OTU372,0,0,0,28,7,2
OTU258,0,0,0,0,31,0
OTU413,0,0,0,1,11,23
OTU301,9,7,21,0,1,0
OTU244,0,0,33,0,0,0
OTU290,0,9,16,1,0,0
OTU432,0,0,0,0,0,35
OTU332,0,1,40,0,0,0
OTU275,71,1,5,0,0,15
OTU218,0,4,18,7,1,2
OTU231,0,1,33,0,0,0
OTU242,0,0,36,0,0,0
OTU295,0,18,14,0,3,0
OTU293,0,6,26,0,0,0
OTU492,0,5,0,1,3,19
OTU339,0,0,42,1,0,0
OTU300,2,1,0,0,27,0
OTU360,0,1,24,8,3,0
OTU147,0,0,24,0,0,0
OTU333,0,0,21,0,0,10
OTU205,0,0,0,1,0,25
OTU317,0,0,28,0,0,0
OTU308,0,0,30,0,0,0
OTU382,0,0,0,2,11,10
OTU336,0,0,26,0,0,5
OTU311,0,0,26,0,0,0
OTU322,0,0,22,0,0,0
OTU169,1,0,21,0,0,0
OTU187,0,0,18,0,16,0
OTU417,2,0,0,0,31,1
OTU321,0,0,20,0,1,0
OTU626,0,0,0,24,0,1
OTU337,4,0,36,0,0,0
OTU423,0,0,26,0,2,7
OTU209,40,0,3,1,4,4
OTU400,0,0,0,0,6,19
OTU239,0,0,22,0,0,0
OTU362,9,0,0,24,3,1
OTU172,1,1,20,0,0,0
OTU307,0,0,27,0,0,0
OTU176,0,0,25,0,1,0
OTU247,0,0,21,1,0,0
OTU528,0,0,14,14,0,2
OTU445,4,23,0,0,0,0
OTU303,0,0,15,0,0,10
OTU377,0,0,0,2,0,24
OTU294,1,27,3,0,0,0
OTU390,0,0,0,0,27,0
OTU256,0,0,2,16,0,0
OTU179,0,0,17,0,0,0
OTU215,0,21,11,0,0,0
OTU274,0,0,0,1,2,18
OTU330,0,0,19,0,0,0
OTU387,0,3,1,3,10,5
OTU576,0,0,24,0,0,0
OTU347,0,0,23,0,0,0
OTU394,0,0,0,5,10,2
OTU374,0,0,0,21,0,0
OTU276,28,13,4,0,2,0
OTU403,0,0,0,0,23,0
OTU357,0,0,20,0,1,0
OTU558,0,0,22,1,1,0
OTU495,0,3,0,13,2,3
OTU514,1,3,8,0,13,3
OTU446,25,6,4,0,0,1
OTU264,3,0,3,0,23,0
OTU370,0,0,0,23,0,0
OTU441,46,2,0,3,1,2
OTU396,0,0,0,0,20,0
OTU313,0,1,17,2,0,0
OTU530,0,0,19,0,0,0
OTU319,0,0,17,0,1,0
OTU325,0,0,17,0,0,0
OTU340,0,0,14,0,1,0
OTU697,0,0,0,0,21,0
OTU335,0,0,15,0,0,0
OTU243,2,0,21,0,0,0
OTU405,0,0,0,0,1,15
OTU220,3,4,14,0,0,0
OTU282,21,10,1,2,3,4
OTU289,5,3,1,0,14,0
OTU404,0,0,0,0,32,0
OTU436,0,0,0,0,5,13
OTU368,0,0,0,11,4,6
OTU414,0,0,0,0,21,0
OTU235,0,0,17,0,0,0
OTU351,0,0,7,0,0,0
OTU249,0,0,15,0,4,0
OTU379,0,0,0,17,1,0
OTU397,0,0,0,3,9,4
OTU650,0,0,0,1,4,12
OTU255,0,0,0,14,0,1
OTU431,0,0,0,0,0,14
OTU217,0,15,0,0,0,0
OTU265,0,0,0,0,20,0
OTU245,0,0,18,0,0,0
OTU348,0,0,11,0,0,0
OTU309,0,0,16,0,0,0
OTU685,0,0,0,0,1,19
OTU450,38,2,0,1,0,2
OTU628,0,0,0,14,0,0
OTU415,0,0,6,1,12,0
OTU549,0,0,13,0,0,0
OTU344,0,0,18,0,0,0
OTU320,0,0,17,0,0,0
OTU226,0,0,24,0,0,0
OTU520,0,5,11,0,0,3
OTU190,0,0,16,0,0,0
OTU304,0,0,12,0,0,0
OTU542,0,0,15,0,0,0
OTU324,0,0,14,0,0,0
OTU298,24,7,1,4,0,1
OTU398,0,0,0,0,11,0
OTU21,22,6,0,0,2,0
OTU430,0,0,0,0,0,17
OTU437,0,0,0,0,0,18
OTU540,0,0,21,0,1,0
OTU261,1,1,1,0,7,7
OTU602,0,0,9,0,0,0
OTU505,0,17,0,0,0,0
OTU552,0,0,11,1,0,1
OTU669,44,0,0,0,1,0
OTU323,0,0,15,0,0,1
OTU517,2,1,0,2,5,4
OTU684,0,0,0,0,12,0
OTU547,0,0,17,0,0,0
OTU359,0,0,16,0,0,0
OTU570,0,0,3,0,5,2
OTU613,0,0,18,0,0,0
OTU268,0,0,0,1,1,7
OTU429,0,0,0,0,3,13
OTU366,0,0,0,16,0,0
OTU280,8,0,14,0,0,0
OTU621,0,0,0,8,5,0
OTU353,0,0,2,1,8,1
OTU424,0,0,0,0,3,12
OTU219,0,10,0,0,0,0
OTU572,0,0,1,4,0,5
OTU328,0,0,14,0,0,0
OTU575,0,0,14,0,0,1
OTU270,0,0,0,0,0,18
OTU236,15,0,11,0,1,0
OTU456,9,3,0,2,3,1
OTU338,0,0,12,0,0,0
OTU435,0,0,0,0,0,15
OTU559,0,0,13,0,1,0
OTU573,0,0,8,0,1,0
OTU408,0,1,0,0,13,0
OTU342,0,0,14,0,0,0
OTU731,0,0,0,0,0,15
OTU383,0,0,0,10,0,0
OTU561,0,0,12,0,0,0
OTU678,0,0,0,1,15,0
OTU422,0,7,0,0,7,0
OTU358,0,0,17,0,0,0
OTU284,35,3,0,0,0,0
OTU699,0,1,2,2,1,0
OTU407,0,0,0,0,13,0
OTU574,0,0,10,0,0,1
OTU310,0,0,7,0,0,0
OTU426,0,0,0,0,2,10
OTU672,0,0,0,0,15,0
OTU732,0,0,1,0,0,7
OTU531,0,0,15,0,0,0
OTU533,0,0,13,0,1,0
OTU391,0,0,0,1,15,0
OTU494,0,9,0,0,0,0
OTU466,4,0,9,0,1,1
OTU418,0,0,0,0,14,0
OTU710,0,0,0,5,5,0
OTU433,0,0,0,0,0,5
OTU524,0,0,11,0,0,0
OTU378,0,0,0,11,0,0
OTU671,0,0,0,1,8,0
OTU434,0,0,0,0,0,11
OTU331,0,0,12,0,0,0
OTU652,23,0,0,3,0,0
OTU639,0,0,0,5,0,0
OTU536,0,0,7,0,0,0
OTU334,0,0,12,0,0,0
OTU346,0,0,10,0,0,0
OTU548,0,0,10,0,0,0
OTU521,0,2,1,2,7,2
OTU440,24,2,1,0,0,0
OTU580,0,1,3,0,2,1
OTU316,0,0,13,0,0,0
OTU254,0,0,0,8,0,0
OTU546,0,0,3,0,0,3
OTU593,0,0,8,0,0,0
OTU605,0,1,2,0,7,0
OTU635,4,0,0,7,0,4
OTU557,0,0,13,0,0,0
OTU345,3,1,7,0,0,0
OTU665,0,0,0,0,7,1
OTU411,0,0,0,0,13,0
OTU682,0,0,0,0,3,5
OTU632,0,0,0,11,1,1
OTU641,0,0,0,5,0,0
OTU395,0,0,0,0,8,0
OTU350,0,0,12,0,0,0
OTU349,0,0,7,0,0,0
OTU402,0,0,0,0,6,0
OTU34,14,5,0,0,0,0
OTU327,0,0,9,0,0,0
OTU375,0,0,0,0,9,0
OTU692,0,0,0,0,3,3
OTU690,0,0,0,0,9,0
OTU341,0,0,6,0,1,3
OTU376,0,0,0,8,0,0
OTU743,0,0,0,0,0,7
OTU195,0,0,0,5,0,0
OTU410,0,0,0,0,15,0
OTU259,0,0,0,0,8,0
OTU733,0,0,0,0,0,8
OTU677,0,0,0,0,9,0
OTU312,0,0,6,0,0,0
OTU485,4,9,1,0,0,0
OTU539,0,0,6,0,1,0
OTU438,5,0,0,0,0,4
OTU578,1,0,8,0,0,0
OTU739,0,0,0,0,0,7
OTU329,0,0,8,0,0,0
OTU566,0,0,11,0,0,0
OTU726,0,0,0,0,0,8
OTU694,0,0,0,0,13,0
OTU713,0,1,0,0,4,0
OTU392,0,0,0,0,11,0
OTU666,0,0,0,0,5,0
OTU560,0,0,11,0,0,0
OTU37,0,0,3,5,2,0
OTU550,0,0,7,1,0,0
OTU352,0,0,7,0,0,0
OTU493,0,9,0,0,0,0
OTU748,0,0,0,0,0,7
OTU630,0,5,0,0,3,0
OTU596,0,0,7,0,0,0
OTU388,0,0,0,10,0,0
OTU670,0,0,5,0,5,0
OTU373,0,0,0,2,6,0
OTU629,0,0,1,3,2,1
OTU409,0,0,0,0,4,0
OTU489,0,6,1,0,0,0
OTU367,0,0,0,7,0,0
OTU662,0,0,1,1,0,2
OTU527,0,0,7,0,0,0
OTU381,0,0,0,5,0,0
OTU562,0,0,12,0,0,0
OTU538,0,0,6,0,0,0
OTU588,0,0,9,0,0,0
OTU38,11,4,0,0,0,0
OTU428,1,0,0,2,3,4
OTU585,0,0,3,0,0,0
OTU87,0,2,2,2,4,0
OTU544,0,0,8,0,1,0
OTU534,0,0,4,0,0,0
OTU599,0,0,5,0,0,1
OTU371,0,0,0,5,0,0
OTU292,0,4,0,0,0,0
OTU606,0,0,6,0,0,0
OTU609,0,0,1,0,4,1
OTU427,0,0,0,1,0,7
OTU537,0,0,6,0,0,0
OTU600,0,0,7,0,0,0
OTU723,0,0,0,0,0,7
OTU535,0,0,6,0,0,0
OTU389,0,0,0,1,0,5
OTU722,0,0,0,0,0,9
OTU742,0,0,0,0,0,7
OTU482,3,1,0,0,0,5
OTU416,0,0,0,0,8,0
OTU619,0,0,6,0,1,0
OTU519,4,4,0,0,2,0
OTU419,0,0,0,0,9,0
OTU603,0,0,8,0,0,0
OTU712,0,0,0,0,7,0
OTU553,0,0,9,0,0,0
OTU468,11,1,0,0,0,1
OTU399,0,0,0,0,9,0
OTU455,10,2,0,0,0,1
OTU232,0,0,5,0,0,1
OTU281,7,0,3,0,0,0
OTU444,8,0,3,0,0,0
OTU594,0,0,3,0,0,0
OTU608,0,0,5,0,0,0
OTU356,0,0,7,0,0,0
OTU384,0,0,1,3,0,0
OTU55,3,3,1,1,1,0
OTU565,0,0,5,0,1,0
OTU581,0,0,4,0,0,0
OTU343,0,0,2,0,0,1
OTU447,10,3,0,0,0,0
OTU620,0,0,2,0,0,0
OTU702,0,0,0,0,5,0
OTU673,0,0,0,0,6,0
OTU610,0,0,2,0,0,0
OTU443,20,0,0,0,0,0
OTU532,0,0,5,0,0,0
OTU488,0,7,0,0,0,0
OTU724,0,0,0,0,0,5
OTU302,0,3,0,0,0,0
OTU50,9,0,0,0,0,0
OTU618,0,0,8,0,0,0
OTU156,0,5,0,0,0,0
OTU741,0,0,0,2,0,5
OTU750,0,0,0,1,1,6
OTU584,0,0,4,0,0,0
OTU590,0,0,4,0,0,0
OTU674,0,0,0,0,6,0
OTU556,0,0,4,0,0,0
OTU420,0,0,0,0,6,0
OTU700,0,0,0,2,5,0
OTU363,0,0,0,5,0,0
OTU617,0,0,4,0,0,0
OTU65,5,1,0,0,0,0
OTU554,0,0,2,0,0,0
OTU683,0,0,0,0,3,0
OTU525,0,0,2,0,0,0
OTU598,0,0,4,0,0,0
OTU504,0,4,0,0,0,0
OTU463,3,0,5,0,0,0
OTU506,0,5,2,0,0,0
OTU278,16,0,0,0,0,0
OTU479,3,0,0,0,1,0
OTU439,16,0,0,0,0,0
OTU625,0,0,0,6,0,0
OTU729,0,0,0,0,0,5
OTU745,0,0,0,0,0,2
OTU508,0,5,0,0,0,0
OTU612,0,0,2,0,0,0
OTU717,0,0,0,0,4,0
OTU653,0,0,0,1,4,0
OTU642,0,0,0,4,0,0
OTU737,0,0,0,1,0,1
OTU513,0,3,2,0,0,0
OTU518,0,1,2,3,0,0
OTU210,6,1,0,0,0,0
OTU680,0,0,0,0,3,0
OTU499,2,0,0,0,0,0
OTU86,4,2,0,0,0,0
OTU707,0,0,0,0,5,0
OTU614,0,0,4,0,1,0
OTU365,0,0,0,3,0,0
OTU459,10,0,1,0,0,0
OTU75,4,0,0,0,0,0
OTU491,5,4,0,0,0,0
OTU648,0,0,0,6,0,0
OTU564,0,0,4,0,0,0
OTU462,12,0,0,0,1,0
OTU705,0,0,0,0,1,0
OTU696,0,0,0,0,5,0
OTU257,0,0,0,2,0,0
OTU545,0,0,3,0,0,0
OTU734,0,0,2,0,0,2
OTU476,12,0,0,0,0,0
OTU708,0,0,0,0,5,0
OTU551,0,0,4,0,0,0
OTU664,0,0,0,0,2,0
OTU627,0,0,0,1,0,0
OTU563,1,0,2,0,1,0
OTU651,0,0,1,3,0,0
OTU213,4,2,0,0,0,0
OTU647,0,0,0,1,0,1
OTU725,1,0,0,0,0,2
OTU643,0,0,0,4,0,0
OTU640,0,0,3,1,0,0
OTU706,0,0,0,0,1,2
OTU529,0,0,4,0,0,0
OTU644,0,0,0,1,1,0
OTU592,0,0,2,0,0,0
OTU595,0,0,5,1,0,0
OTU661,0,0,0,1,0,0
OTU744,0,0,0,0,0,4
OTU401,0,0,0,0,3,0
OTU735,0,0,0,0,0,1
OTU718,0,0,0,0,4,0
OTU285,3,1,0,1,1,1
OTU478,4,0,0,2,0,0
OTU709,0,0,0,0,2,0
OTU663,1,0,0,1,1,0
OTU589,0,0,4,0,0,0
OTU597,0,0,1,0,0,0
OTU569,3,0,0,0,0,0
OTU583,0,0,3,0,0,0
OTU406,0,0,0,1,1,0
OTU526,0,0,4,0,0,0
OTU649,0,0,0,3,0,0
OTU622,0,0,0,2,0,0
OTU667,0,0,0,0,3,0
OTU287,2,0,0,1,1,0
OTU260,0,0,0,0,0,1
OTU117,5,0,0,0,0,0
OTU541,0,0,2,0,0,0
OTU689,0,0,0,0,2,0
OTU522,0,1,0,2,0,1
OTU646,0,0,0,0,1,0
OTU486,7,1,0,0,0,0
OTU568,0,0,2,0,0,0
OTU698,0,0,0,0,1,0
OTU449,9,0,0,0,0,0
OTU740,0,0,2,0,0,0
OTU477,8,0,0,0,0,0
OTU465,7,0,0,0,0,0
OTU160,0,0,0,0,0,1
OTU657,0,0,0,1,0,1
OTU631,0,0,0,1,0,0
OTU130,3,3,0,0,0,0
OTU582,0,0,2,0,0,0
OTU715,0,0,0,0,5,0
OTU567,0,2,1,0,0,0
OTU688,0,0,0,0,1,0
OTU502,1,2,0,0,0,0
OTU730,0,0,0,0,0,2
OTU655,0,0,0,1,0,0
OTU471,5,1,0,0,0,0
OTU116,4,0,0,0,0,0
OTU728,0,0,0,0,0,2
OTU691,0,0,0,0,1,0
OTU202,0,0,0,0,0,1
OTU469,4,0,0,0,0,0
OTU687,0,0,0,1,3,0
OTU458,3,0,1,0,0,0
OTU421,0,0,0,0,1,0
OTU738,0,0,0,0,0,2
OTU369,0,0,0,2,0,0
OTU676,0,0,0,0,2,0
OTU364,0,0,0,2,0,0
OTU637,0,0,0,2,0,1
OTU711,0,0,0,0,2,0
OTU484,2,0,0,0,0,1
OTU660,0,0,0,3,0,0
OTU601,0,0,2,0,0,0
OTU695,0,0,0,0,1,0
OTU326,0,0,3,0,0,0
OTU615,0,0,1,0,0,0
OTU511,2,0,0,0,0,0
OTU686,0,0,1,0,1,0
OTU497,0,2,0,0,0,0
OTU633,0,1,0,0,0,0
OTU624,0,0,0,1,0,1
OTU645,0,0,0,1,0,0
OTU483,3,2,0,0,0,0
OTU386,0,0,0,2,0,0
OTU457,5,1,0,0,0,0
OTU214,3,0,0,0,0,0
OTU472,3,0,0,0,0,0
OTU277,3,1,0,0,0,0
OTU693,0,0,0,0,1,0
OTU425,0,0,0,0,1,0
OTU297,0,2,0,0,0,0
OTU611,0,0,1,0,0,0
OTU212,2,0,0,0,0,1
OTU448,5,0,0,0,0,0
OTU512,1,1,0,0,1,0
OTU586,0,0,3,0,0,0
OTU496,0,2,0,0,0,0
OTU703,0,0,0,0,3,0
OTU451,2,2,0,0,0,0
OTU654,0,0,0,1,0,0
OTU208,2,1,0,0,1,0
OTU498,0,1,0,0,0,0
OTU288,3,0,0,0,0,0
OTU507,0,3,0,0,0,0
OTU523,1,2,0,0,0,0
OTU679,0,0,0,0,3,0
OTU296,0,1,0,0,0,0
OTU291,0,2,0,0,0,0
OTU286,2,0,0,0,0,0
OTU656,0,0,0,1,0,0
OTU714,0,0,0,0,2,0
OTU467,3,0,0,0,0,0
OTU659,0,0,0,3,0,0
OTU283,3,0,0,0,0,0
OTU571,0,0,1,0,0,0
OTU480,4,0,0,0,0,0
OTU747,0,0,0,0,0,1
OTU279,4,0,0,0,0,0
OTU470,3,0,0,0,0,0
OTU746,0,0,0,0,0,2
OTU501,0,1,0,0,0,0
OTU500,0,1,0,0,0,0
OTU473,2,0,0,0,0,0
OTU481,3,0,0,0,0,0
OTU460,3,0,0,0,0,0
OTU453,3,0,0,0,0,0
OTU475,2,0,0,0,0,0
OTU716,0,0,0,0,2,0
OTU616,0,0,2,0,0,0
OTU490,0,1,0,0,0,0
OTU503,0,1,0,0,0,0
OTU579,0,0,1,0,0,1
OTU461,3,0,0,0,0,0
OTU675,0,0,0,0,2,0
OTU452,3,0,0,0,0,0
OTU510,0,2,0,0,0,0
OTU668,0,0,0,0,1,0
OTU638,0,0,0,2,0,0
OTU474,2,0,0,0,0,0
OTU515,0,1,0,0,0,0
OTU454,3,0,0,0,0,0
OTU720,0,0,0,0,0,1
