OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species,
OTU2347,2,3,0,2,1,1,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__,f__,g__,s__,
OTU76,2,0,0,2,1,1,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,,,,
OTU1877,2,0,0,2,1,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU853,2,0,4,0,1,1,k__Bacteria,p__Acidobacteria,,,,,,
OTU975,2,0,1,0,1,1,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
OTU1650,2,0,0,0,1,1,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU377,2,0,0,0,1,1,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__DA101,s__,
OTU878,2,0,0,0,1,1,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus,,
OTU768,2,0,0,0,1,1,k__Bacteria,,,,,,,
OTU417,2,0,1,2,0,1,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__,s__,
OTU1708,2,0,4,1,0,1,k__Bacteria,p__WPS-2,c__,o__,f__,g__,s__,
OTU941,2,1,1,1,0,1,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__,s__,
OTU827,2,0,1,1,0,1,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__,g__,s__,
OTU1848,2,0,1,0,0,1,k__Bacteria,p__Acidobacteria,,,,,,
OTU445,2,0,0,0,0,1,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__,
OTU2730,2,0,0,0,0,1,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
OTU806,2,0,0,0,0,1,k__Bacteria,p__WPS-2,c__,o__,f__,g__,s__,
OTU880,2,0,0,0,0,1,k__Bacteria,p__Gemmatimonadetes,c__Gemm-1,o__,f__,g__,s__,
OTU2709,2,0,3,1,6,0,k__Bacteria,p__Acidobacteria,,,,,,
OTU1338,2,0,3,2,4,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__,
OTU512,2,0,3,1,3,0,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__,g__,s__,
OTU266,2,0,0,1,3,0,k__Bacteria,,,,,,,
OTU303,2,0,2,6,2,0,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU1230,2,3,1,5,2,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,g__,s__,
OTU692,2,0,1,3,2,0,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,g__Pilimelia,s__,
OTU779,2,1,4,1,2,0,k__Bacteria,p__Chloroflexi,c__Ellin6529,o__,f__,g__,s__,
OTU1293,2,1,0,1,2,0,k__Archaea,p__Crenarchaeota,c__MBGA,o__NRP-J,f__,g__,s__,
OTU2687,2,3,5,0,2,0,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU2507,2,0,3,0,2,0,k__Bacteria,p__Acidobacteria,c__iii1-8,o__32-20,f__,g__,s__,
OTU1817,2,0,2,0,2,0,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__,
OTU333,2,0,1,0,2,0,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__DA101,s__,
OTU1110,2,0,1,0,2,0,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
OTU1990,2,0,0,0,2,0,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU1464,2,1,2,4,1,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__,
OTU1010,2,3,2,2,1,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Ellin329,f__,g__,s__,
OTU1139,2,0,1,2,1,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__,
OTU1041,2,0,2,1,1,0,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__FAC88,f__,g__,s__,
OTU2044,2,0,2,1,1,0,k__Bacteria,,,,,,,
OTU91,2,0,2,1,1,0,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU1960,2,0,1,1,1,0,k__Bacteria,p__Acidobacteria,c__Sva0725,o__Sva0725,f__,g__,s__,
